Name;FMISID;LPNN;WMO;Lat;Lon;Elevation;Groups;Started
Äänekoski Kalaniemi;101541;3405;NA;62.88;25.86;107;Precipitation stations;1956
Ähtäri Myllymäki;101520;3301;2924;62.53;24.22;159;Weather stations;1959
Alajärvi Möksy;101533;3314;2787;63.09;24.26;171;Weather stations;1996
Alavus Sulkavankylä;101305;2213;NA;62.45;23.55;124;Precipitation stations;1942
Asikkala parish;104718;1441;NA;61.22;25.5;89;Precipitation stations;2016
Asikkala Pulkkilanharju;101185;1434;2727;61.27;25.52;79;Weather stations;1991
Enonkoski Simanala;101446;2806;NA;62.06;29.04;95;Precipitation stations;1937
Enontekiö airport;101976;8208;2802;68.36;23.43;308;Weather stations;1999
Enontekiö Karesuvanto;101968;8102;NA;68.44;22.51;320;Precipitation stations;1953
Enontekiö Kilpisjärvi;102016;9003;2801;69.05;20.79;480;Weather stations;1983
Enontekiö Kilpisjärvi Saana;102017;9004;2701;69.04;20.85;1002;Weather stations;1991
Enontekiö Näkkälä;102019;9201;2726;68.6;23.58;374;Weather stations;1960
Espoo Kivenlahti;101000;334;2838;60.18;24.64;44;Masts;1989
Espoo Kytö;654910;NA;NA;60.06;24.72;0;Buoys;2013
Espoo Nuuksio;852678;344;2986;60.29;24.57;90;Weather stations;2014
Espoo Tapiola;874863;342;2985;60.18;24.79;6;Weather stations;2013
Föglö Degerby;134252;NA;NA;60.03;20.38;0;Mareographs;1923
Haapavesi Mustikkamäki;101695;4402;2797;64.14;25.42;112;Weather stations;1951
Hailuoto Keskikylä;101776;5301;2874;65.02;24.73;7;Weather stations;1950
Hailuoto Marjaniemi;101784;5310;2873;65.04;24.56;7;Weather stations;1974
Halsua Kanala Purola;101528;3309;2725;63.45;24.44;153;Weather stations;1958
Hämeenlinna Katinen;101150;1322;2754;61;24.49;87;Weather stations;2001
Hämeenlinna Lammi Evo;101189;1438;2713;61.22;25.13;134;Weather stations;2005
Hämeenlinna Lammi Pappila;101154;1403;2767;61.05;25.04;125;Weather stations;1963
Hämeenlinna Pirttikoski;101143;1315;NA;61.01;23.92;129;Precipitation stations;1939
Hamina Pitäjänsaari;134254;NA;NA;60.56;27.18;0;Mareographs;1928
Hammarland Märket;100919;14;2993;60.3;19.13;3;Weather stations;1977
Hanko Längden;654900;NA;NA;59.76;23.22;0;Buoys;2013
Hanko Pikku Kolalahti;134253;NA;NA;59.82;22.98;0;Mareographs;1887
