Nimi;FMISID;LPNN;WMO;Lat;Lon;Korkeus;Ryhmät;Alkaen
Alajärvi Möksy;101533;3314;02787;63,09;24,26;170;Sääasemat;1996
Antarktis Aboa;112275;9950;89014;-73,05;-13,38;497;Sääasemat;2003
Asikkala Pulkkilanharju;101185;1434;02727;61,27;25,52;80;Sääasemat;1991
Enontekiö Kilpisjärvi kyläkeskus;102016;9003;02801;69,05;20,79;480;Sääasemat;1983
Enontekiö Kilpisjärvi Saana;102017;9004;02701;69,04;20,85;1002;Sääasemat;1991
Enontekiö lentoasema;101976;8208;02802;68,36;23,43;306;Sääasemat;1999
Enontekiö Näkkälä;102019;9201;02726;68,60;23,58;374;Sääasemat;1960
Espoo Nuuksio;852678;0344;02986;60,29;24,57;90;Sääasemat;2014
Espoo Sepänkylä;101005;0340;02703;60,21;24,74;31;Sääasemat;2005
Espoo Tapiola;874863;0342;02985;60,18;24,79;6;Sääasemat;2013
Haapavesi Mustikkamäki;101695;4402;02797;64,14;25,42;112;Sääasemat;1951
Hailuoto Marjaniemi;101784;5310;02873;65,04;24,56;7;Sääasemat;1974
Hailuoto Ojakylä;101776;5301;02874;65,02;24,73;7;Sääasemat;1950
Halsua Kanala Purola;101528;3309;02725;63,45;24,44;153;Sääasemat;1958
Hammarland Märket;100919;0014;02993;60,30;19,13;3;Sääasemat;1977
Hanko Russarö;100932;0101;02982;59,77;22,95;5;Sääasemat;1881
Hanko Tulliniemi;100946;0115;02746;59,81;22,92;11;Sääasemat;1990
Hanko Tvärminne;100953;0202;02750;59,84;23,25;3;Sääasemat;1962
Hattula Lepaa;101151;1323;02704;61,11;24,32;87;Sääasemat;2006
Heinola Asemantaus;101196;1506;02768;61,20;26,05;92;Sääasemat;1908
Helsinki Harmaja;100996;0330;02795;60,10;24,98;3;Sääasemat;1989
Helsinki Helsingin majakka;101003;0337;02989;59,95;24,93;0;Sääasemat;2003
Helsinki Helsinki-Malmi lentoasema;101009;0401;05105;60,25;25,05;15;Sääasemat;1937
Helsinki Kaisaniemi;100971;0304;02978;60,18;24,94;4;Sääasemat;1844
Helsinki Kumpula;101004;0339;02998;60,20;24,96;24;Sääasemat;2005
Helsinki Rautatientori;101007;0343;02934;60,17;24,94;3;Sääasemat;2009
Helsinki Vuosaari satama;151028;0411;05720;60,21;25,20;2;Sääasemat;2012
Hyvinkää Hyvinkäänkylä;101130;1302;02829;60,60;24,80;86;Sääasemat;1930
Hämeenlinna Katinen;101150;1322;02754;61,00;24,49;87;Sääasemat;2001
Hämeenlinna Lammi Evo;101189;1438;02713;61,22;25,13;134;Sääasemat;2005
Hämeenlinna Lammi Pappila;101154;1403;02767;61,05;25,04;125;Sääasemat;1963
Ilmajoki Seinäjoki lentoasema;137188;;;62,69;22,84;86;Sääasemat;2012
Ilomantsi Mekrijärvi;101651;3919;02939;62,77;30,98;155;Sääasemat;1999
Ilomantsi Pötsönvaara;101649;3917;02766;63,14;31,04;235;Sääasemat;1997
Inari Angeli Lintupuoliselkä;102026;9405;02857;68,90;25,74;285;Sääasemat;2008
Inari Ivalo lentoasema;102033;9601;02807;68,61;27,41;147;Sääasemat;1957
Inari Kaamanen;102047;9616;02702;69,14;27,27;156;Sääasemat;2008
Inari Kirakkajärvi;102055;9708;02858;69,58;28,89;106;Sääasemat;2009
Inari Nellim;102052;9705;02835;68,85;28,30;121;Sääasemat;1990
Inari Rajajooseppi;102009;8704;02818;68,48;28,30;253;Sääasemat;1992
Inari Saariselkä Kaunispää;102006;8607;02817;68,43;27,44;437;Sääasemat;1995
Inari Saariselkä matkailukeskus;102005;8606;02722;68,42;27,41;302;Sääasemat;1976
Inari Seitalaassa;129963;9617;02888;69,05;27,76;120;Sääasemat;2011
Inari Väylä;102042;9611;02827;69,07;27,49;123;Sääasemat;1990
Inkoo Bågaskär;100969;0302;02984;59,93;24,01;12;Sääasemat;1955
Joensuu Linnunlahti;101632;3825;02928;62,60;29,72;81;Sääasemat;2008
Jokioinen Jokioisten observatorio;101104;1201;02963;60,81;23,50;104;Radioluotausasemat/Sääasemat;1957
Jomala Jomalaby;100917;0011;02741;60,18;19,99;11;Sääasemat;1971
Jomala Maarianhamina lentoasema;100907;0001;02970;60,12;19,90;5;Sääasemat;1950
